timestamp,mode,framework,n_resources,component,cpu_millicores,mem_mib
2026-07-15T09:07:50+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:07:50+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:07:51+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:07:51+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:07:51+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:07:57+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:07:58+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:07:58+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:07:59+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:07:59+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:05+00:00,at-rest,all,0,crossplane-core,4,88
2026-07-15T09:08:05+00:00,at-rest,all,0,provider-kafka,3,37
2026-07-15T09:08:06+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:06+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:06+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:12+00:00,at-rest,all,0,crossplane-core,4,88
2026-07-15T09:08:13+00:00,at-rest,all,0,provider-kafka,3,37
2026-07-15T09:08:13+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:13+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:14+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:20+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:08:20+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:21+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:21+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:08:21+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:27+00:00,at-rest,all,0,crossplane-core,3,88
2026-07-15T09:08:28+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:28+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:28+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:08:29+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:35+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:35+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:36+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:36+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:36+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:42+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:43+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:43+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:43+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:44+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:50+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:50+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:51+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:51+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:51+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:08:57+00:00,at-rest,all,0,crossplane-core,18,94
2026-07-15T09:08:58+00:00,at-rest,all,0,provider-kafka,2,37
2026-07-15T09:08:58+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:08:58+00:00,at-rest,all,0,function-patch-and-transform,0,23
2026-07-15T09:08:59+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:09:05+00:00,at-rest,all,0,crossplane-core,3,94
2026-07-15T09:09:05+00:00,at-rest,all,0,provider-kafka,4,37
2026-07-15T09:09:05+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:09:06+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:09:06+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
2026-07-15T09:09:12+00:00,at-rest,all,0,crossplane-core,3,94
2026-07-15T09:09:12+00:00,at-rest,all,0,provider-kafka,4,37
2026-07-15T09:09:13+00:00,at-rest,all,0,provider-kubernetes,2,42
2026-07-15T09:09:13+00:00,at-rest,all,0,function-patch-and-transform,1,23
2026-07-15T09:09:14+00:00,at-rest,all,0,kubebuilder-controller,0,2.4
